t,sensor_id,sensor_name,alert_type,details
5.0,1,,ALERT,TEMP (76°C)
6.0,1,,ALERT,TEMP (75°C)
7.0,1,,ALERT,TEMP (73°C)
8.0,1,,ALERT,TEMP (71°C)
9.0,1,,ALERT,TEMP (73°C)
10.0,1,,ALERT,TEMP (74°C)
11.0,1,,ALERT,TEMP (76°C)
12.0,1,,ALERT,TEMP (73°C)
13.0,1,,ALERT,TEMP (78°C)
14.0,1,,ALERT,TEMP (72°C)
15.0,1,,ALERT,TEMP (75°C)
16.0,1,,ALERT,TEMP (72°C)
17.0,1,,ALERT,TEMP (74°C)
18.0,1,,ALERT,TEMP (78°C)
19.0,1,,ALERT,TEMP (72°C)
20.0,1,,ALERT,TEMP (74°C)
21.0,1,,ALERT,TEMP (73°C)
22.0,1,,ALERT,TEMP (78°C)
23.0,1,,ALERT,TEMP (74°C)
24.0,1,,ALERT,TEMP (73°C)
25.0,1,,ALERT,TEMP (78°C)
26.0,1,,ALERT,TEMP (75°C)
27.0,1,,ALERT,TEMP (78°C)
28.0,1,,ALERT,TEMP (75°C)
29.0,1,,ALERT,TEMP (73°C)
30.0,1,,ALERT,TEMP (78°C)
31.0,1,,ALERT,TEMP (72°C)
32.0,1,,ALERT,TEMP (75°C)
33.0,1,,ALERT,TEMP (112°C)
34.0,1,,ALERT,TEMP (109°C)
35.0,1,,ALERT,TEMP (110°C)
36.0,1,,ALERT,TEMP (119°C)
37.0,1,,ALERT,TEMP (115°C)
38.0,1,,ALERT,TEMP (116°C)
39.0,1,,ALERT,TEMP (127°C)
40.0,1,,ALERT,TEMP (115°C)
41.0,1,,ALERT,TEMP (116°C)
42.0,1,,ALERT,TEMP (119°C)
43.0,1,,ALERT,TEMP (118°C)
44.0,1,,ALERT,TEMP (127°C)
45.0,1,,ALERT,TEMP (125°C)
46.0,1,,ALERT,TEMP (119°C)
47.0,1,,ALERT,TEMP (117°C)
48.0,1,,ALERT,TEMP (122°C)
49.0,1,,ALERT,TEMP (116°C)
50.0,1,,ALERT,TEMP (122°C)
51.0,1,,ALERT,TEMP (119°C)
52.0,1,,ALERT,TEMP (115°C)
53.0,1,,ALERT,TEMP (127°C)
54.0,1,,ALERT,TEMP (116°C)
55.0,1,,ALERT,TEMP (125°C)
56.0,1,,ALERT,TEMP (123°C)
57.0,1,,ALERT,TEMP (119°C)
58.0,1,,ALERT,TEMP (118°C)
59.0,1,,ALERT,TEMP (127°C)
60.0,1,,ALERT,TEMP (117°C)
61.0,1,,ALERT,TEMP (122°C)
62.0,1,,ALERT,TEMP (120°C)
63.0,1,,ALERT,TEMP (127°C)
64.0,1,,ALERT,TEMP (126°C)
65.0,1,,ALERT,TEMP (126°C)
66.0,1,,ALERT,TEMP (121°C)
67.0,1,,ALERT,TEMP (161°C)
68.0,1,,ALERT,TEMP (152°C)
69.0,1,,ALERT,TEMP (156°C)
70.0,1,,ALERT,TEMP (161°C)
71.0,1,,ALERT,TEMP (165°C)
