t,sensor_id,sx,sy,temp,gas,battery,active,efficiency,range_tiles,threat_active,threat_area,threat_points_count
1.0,1,97,89,0.0,0.0,4956.8,1,80,6,0,0.0,0
1.0,1,97,89,0.0,0.0,4956.8,1,80,6,0,0.0,0
2.0,1,97,89,0.0,0.0,4913.6,1,80,6,0,0.0,0
2.0,1,97,89,0.0,0.0,4913.6,1,80,6,0,0.0,0
3.0,1,97,89,0.0,0.0,4870.400000000001,1,80,6,0,0.0,0
3.0,1,97,89,0.0,0.0,4870.400000000001,1,80,6,0,0.0,0
4.0,1,97,89,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
4.0,1,97,89,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
5.0,1,97,89,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
5.0,1,97,89,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
6.0,1,97,89,0.7333747416002019,0.0,4740.800000000001,1,80,6,0,0.0,0
6.0,1,97,89,0.7333747416002019,0.0,4740.800000000001,1,80,6,0,0.0,0
7.0,1,97,89,0.15441558772842864,0.0,4697.600000000001,1,80,6,0,0.0,0
7.0,1,97,89,0.15441558772842864,0.0,4697.600000000001,1,80,6,0,0.0,0
8.0,1,97,89,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
8.0,1,97,89,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
9.0,1,97,89,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
9.0,1,97,89,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
10.0,1,97,89,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
10.0,1,97,89,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
11.0,1,97,89,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
11.0,1,97,89,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
12.0,1,97,89,0.7333747416002019,0.0,4481.600000000002,1,80,6,0,0.0,0
12.0,1,97,89,0.7333747416002019,0.0,4481.600000000002,1,80,6,0,0.0,0
13.0,1,97,89,0.15441558772842864,0.0,4438.400000000002,1,80,6,0,0.0,0
13.0,1,97,89,0.15441558772842864,0.0,4438.400000000002,1,80,6,0,0.0,0
14.0,1,97,89,0.0,0.0,4395.200000000003,1,80,6,0,0.0,0
