t,sensor_id,sx,sy,temp_c,co_ppm,co2_ppm,h2_ppm,gas_total_ppm,battery,active,efficiency,range_tiles,threat_active,threat_area,threat_points_count
1.0,1,103,76,56.78,0.0,0.0,0.0,0.0,4956.8,1,80,6,0,0.0,0
1.0,1,103,76,56.78,0.0,0.0,0.0,0.0,4956.8,1,80,6,0,0.0,0
2.0,1,103,76,67.61,0.0,0.0,0.0,0.0,4913.6,1,80,6,1,39.878333,12
2.0,1,103,76,67.61,0.0,0.0,0.0,0.0,4913.6,1,80,6,1,39.878333,12
3.0,1,103,76,67.02,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,1,41.447127,13
3.0,1,103,76,67.02,0.0,0.0,0.0,0.0,4870.400000000001,1,80,6,1,41.447127,13
4.0,1,103,76,45.6,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
4.0,1,103,76,45.6,0.0,0.0,0.0,0.0,4827.200000000001,1,80,6,0,0.0,0
5.0,1,103,76,21.55,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
5.0,1,103,76,21.55,0.0,0.0,0.0,0.0,4784.000000000001,1,80,6,0,0.0,0
6.0,1,103,76,22.19,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
6.0,1,103,76,22.19,0.0,0.0,0.0,0.0,4740.800000000001,1,80,6,0,0.0,0
7.0,1,103,76,22.55,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
7.0,1,103,76,22.55,0.0,0.0,0.0,0.0,4697.600000000001,1,80,6,0,0.0,0
8.0,1,103,76,21.85,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
8.0,1,103,76,21.85,0.0,0.0,0.0,0.0,4654.4000000000015,1,80,6,0,0.0,0
9.0,1,103,76,21.29,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
9.0,1,103,76,21.29,0.0,0.0,0.0,0.0,4611.200000000002,1,80,6,0,0.0,0
10.0,1,103,76,22.08,0.0,0.0,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
10.0,1,103,76,22.08,0.0,0.0,0.0,0.0,4568.000000000002,1,80,6,0,0.0,0
11.0,1,103,76,22.37,0.0,0.0,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
11.0,1,103,76,22.37,0.0,0.0,0.0,0.0,4524.800000000002,1,80,6,0,0.0,0
