t,sensor_id,sensor_name,sx,sy,modes,temp_c,co_ppm,co2_ppm,h2_ppm,gas_total_ppm,battery,active,efficiency,range_tiles,limit,max_limit,threat_active,threat_area,threat_points_count
1.0,1,,101,94,TEMP,40.71,0.0,0.0,0.0,0.0,4956.8,1,80,6,39,40,0,0.0,0
2.0,1,,101,94,TEMP,39.56,0.0,0.0,0.0,0.0,4913.6,1,80,6,38,40,0,0.0,0
3.0,1,,101,94,TEMP,37.99,0.0,0.0,0.0,0.0,4870.4,1,80,6,37,40,0,0.0,0
4.0,1,,101,94,TEMP,38.52,0.0,0.0,0.0,0.0,4827.2,1,80,6,36,40,0,0.0,0
5.0,1,,101,94,TEMP,75.89,0.0,0.0,0.0,0.0,4784.0,1,80,6,35,40,1,62.760083,16
6.0,1,,101,94,TEMP,75.46,0.0,0.0,0.0,0.0,4740.8,1,80,6,34,40,1,62.760083,16
7.0,1,,101,94,TEMP,72.95,0.0,0.0,0.0,0.0,4697.6,1,80,6,33,40,1,62.760083,16
8.0,1,,101,94,TEMP,71.41,0.0,0.0,0.0,0.0,4654.4,1,80,6,32,40,1,62.760083,16
9.0,1,,101,94,TEMP,72.77,0.0,0.0,0.0,0.0,4611.2,1,80,6,31,40,1,62.760083,16
10.0,1,,101,94,TEMP,74.43,0.0,0.0,0.0,0.0,4568.0,1,80,6,30,40,1,62.760083,16
11.0,1,,101,94,TEMP,76.37,0.0,0.0,0.0,0.0,4524.8,1,80,6,29,40,1,62.760083,16
12.0,1,,101,94,TEMP,73.05,0.0,0.0,0.0,0.0,4481.6,1,80,6,28,40,1,62.760083,16
13.0,1,,101,94,TEMP,78.29,0.0,0.0,0.0,0.0,4438.4,1,80,6,27,40,1,62.760083,16
14.0,1,,101,94,TEMP,71.98,0.0,0.0,0.0,0.0,4395.2,1,80,6,26,40,1,62.760083,16
15.0,1,,101,94,TEMP,74.76,0.0,0.0,0.0,0.0,4352.0,1,80,6,25,40,1,62.760083,16
16.0,1,,101,94,TEMP,72.02,0.0,0.0,0.0,0.0,4308.8,1,80,6,24,40,1,62.760083,16
17.0,1,,101,94,TEMP,74.13,0.0,0.0,0.0,0.0,4265.6,1,80,6,23,40,1,62.760083,16
18.0,1,,101,94,TEMP,77.63,0.0,0.0,0.0,0.0,4222.4,1,80,6,22,40,1,62.760083,16
19.0,1,,101,94,TEMP,72.17,0.0,0.0,0.0,0.0,4179.2,1,80,6,21,40,1,62.760083,16
20.0,1,,101,94,TEMP,74.27,0.0,0.0,0.0,0.0,4136.0,1,80,6,20,40,1,62.760083,16
21.0,1,,101,94,TEMP,72.79,0.0,0.0,0.0,0.0,4092.8,1,80,6,19,40,1,62.760083,16
22.0,1,,101,94,TEMP,77.56,0.0,0.0,0.0,0.0,4049.6,1,80,6,18,40,1,62.760083,16
23.0,1,,101,94,TEMP,74.46,0.0,0.0,0.0,0.0,4006.4,1,80,6,17,40,1,62.760083,16
24.0,1,,101,94,TEMP,73.26,0.0,0.0,0.0,0.0,3963.2,1,80,6,16,40,1,62.760083,16
25.0,1,,101,94,TEMP,77.61,0.0,0.0,0.0,0.0,3920.0,1,80,6,15,40,1,62.760083,16
26.0,1,,101,94,TEMP,75.11,0.0,0.0,0.0,0.0,3876.8,1,80,6,14,40,1,62.760083,16
27.0,1,,101,94,TEMP,78.23,0.0,0.0,0.0,0.0,3833.6,1,80,6,13,40,1,62.760083,16
28.0,1,,101,94,TEMP,75.03,0.0,0.0,0.0,0.0,3790.4,1,80,6,12,40,1,62.760083,16
29.0,1,,101,94,TEMP,72.51,0.0,0.0,0.0,0.0,3747.2,1,80,6,11,40,1,62.760083,16
